1,1,1,1,1,2024-01-10,2,900
2,1,1,2,1,2024-01-11,1,800
3,2,3,4,1,2024-01-15,3,350
4,2,4,6,2,2024-02-10,2,700
5,3,5,7,2,2024-02-12,1,300
6,3,6,8,2,2024-02-15,2,1000
7,4,7,9,3,2024-03-01,1,750
8,4,8,10,3,2024-03-05,3,250
9,5,9,11,3,2024-03-10,2,200
10,6,10,12,3,2024-04-02,1,900
11,6,11,13,4,2024-04-05,2,650
12,6,12,14,4,2024-04-05,1,1200
13,7,13,15,4,2024-04-10,2,1300
14,7,14,16,4,2024-04-10,3,500
15,8,15,17,5,2024-04-14,1,1200
16,8,16,18,5,2024-05-01,2,700
17,8,17,19,5,2024-05-02,1,1500
18,9,18,20,5,2024-05-10,1,800
19,10,19,21,1,2024-05-12,1,2500
20,10,20,22,1,2024-05-15,1,3000
21,10,21,23,2,2024-05-20,2,500
22,11,22,24,2,2024-05-28,1,900
23,12,23,25,3,2024-06-03,3,900
24,12,24,26,3,2024-06-04,2,650
25,12,25,27,4,2024-06-10,1,1200
26,13,26,28,4,2024-06-15,4,600
27,13,27,29,5,2024-06-30,1,750
28,13,28,30,5,2024-07-01,1,1400
29,14,29,31,1,2024-07-04,12,120
30,14,30,32,1,2024-07-05,1,900
...
(continúa hasta llegar a 100)
