1,1,1,Tomate,kg,900
2,1,1,Cebolla,kg,800
3,2,1,Zanahoria,kg,600
4,3,1,Lechuga,unidad,350
5,4,2,Apio,manojo,500
6,4,2,Papa,kg,700
7,5,2,Culantro,manojo,300
8,6,2,Berenjena,kg,1000
9,7,3,Repollo,unidad,750
10,8,3,Chile Dulce,unidad,250
11,9,3,Pepino,unidad,200
12,10,3,Limón,kg,900
13,11,4,Naranja,kg,650
14,12,4,Manzana,kg,1200
15,13,4,Pera,kg,1300
16,14,4,Plátano,kg,500
17,15,5,Aguacate,unidad,1200
18,16,5,Mandarina,kg,700
19,17,5,Maracuyá,kg,1500
20,18,5,Guayaba,kg,800
21,19,1,Uvas,kg,2500
22,20,1,Fresas,kg,3000
23,21,2,Banano,kg,500
24,22,2,Mango,unidad,900
25,23,3,Melón,kg,900
26,24,3,Sandía,kg,650
27,25,4,Piña,unidad,1200
28,26,4,Remolacha,kg,600
29,27,5,Arroz,kg,750
30,28,5,Frijoles,kg,1400
31,29,1,Huevo,unidad,120
32,30,1,Leche,litro,900
33,1,2,Yuca,kg,450
34,2,3,Cacao,kg,2200
35,3,4,Maíz,kg,400
36,4,5,Acelga,manojo,550
37,5,1,Batata,kg,500
38,6,2,Albahaca,manojo,450
39,7,3,Romero,manojo,500
40,8,4,Orégano,manojo,600
